,0-19,20-34,35-49,50-64,65+
2021-02-28,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-01,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-02,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-03,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-04,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-05,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-06,28.857142857142858,308.2142857142857,270.64285714285717,370.2857142857143,835.4285714285714
2021-03-07,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-08,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-09,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-10,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-11,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-12,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-13,27.714285714285715,106.28571428571429,136.14285714285714,244.14285714285714,718.5714285714286
2021-03-14,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-15,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-16,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-17,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-18,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-19,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-20,28.571428571428573,196.14285714285714,246.57142857142858,360.2857142857143,788.0
2021-03-21,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-22,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-23,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-24,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-25,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-26,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-27,28.285714285714285,412.7857142857143,369.2142857142857,369.57142857142856,786.4285714285714
2021-03-28,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-03-29,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-03-30,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-03-31,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-04-01,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-04-02,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-04-03,29.571428571428573,1447.357142857143,1278.5,901.1428571428571,866.8571428571429
2021-04-04,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-05,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-06,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-07,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-08,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-09,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-10,32.57142857142857,2584.6428571428573,2006.5,1345.5714285714287,1114.0
2021-04-11,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-12,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-13,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-14,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-15,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-16,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-17,33.42857142857143,190.07142857142858,283.92857142857144,412.14285714285717,797.2857142857143
2021-04-18,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-19,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-20,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-21,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-22,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-23,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-24,36.42857142857143,208.07142857142858,317.92857142857144,600.1428571428571,6568.428571428572
2021-04-25,39.57142857142857,431.5,565.7857142857143,1136.857142857143,18459.285714285714
2021-04-26,39.57142857142857,431.5,565.7857142857143,1136.857142857143,18459.285714285714
2021-04-27,39.57142857142857,431.5,565.7857142857143,1136.857142857143,18459.285714285714
2021-04-28,39.57142857142857,431.5,565.7857142857143,1136.857142857143,18459.285714285714
2021-04-29,39.57142857142857,431.5,565.7857142857143,1136.857142857143,18459.285714285714
